President,Position,Appointee,Start Date,End Date,Length of Tenure,Day of Admin of Departure
Reagan,Attorney General,Dick Thornburgh,8/12/1988,Bush admin,1098 combined,#VALUE!
Reagan,Director of Central Intelligence,Bill Webster,5/26/1987,Bush admin,1558 combined,#VALUE!
Reagan,Secretary of Education,Lauro Cavazos,9/20/1988,Bush admin,816 combined,#VALUE!
Reagan,Secretary of the Treasury,Nicholas Brady,9/16/1988,Bush admin,1584 combined,#VALUE!
Bush 41,Secretary of Labor,Elizabeth Dole,1/25/1989,11/23/1990,667,673
Bush 41,Secretary of Education,Lauro Cavazos,Reagan admin,12/15/1990,816 combined,695
Bush 41,Secretary of Agriculture,Clayton Yeutter,2/16/1989,3/1/1991,743,771
Bush 41,SBA Administrator,Susan Engeleiter,4/20/1989,3/27/1991,706,797
Bush 41,Attorney General,Dick Thornburgh,Reagan admin,8/15/1991,1098 combined,938
Bush 41,Director of Central Intelligence,Bill Webster,Reagan admin,8/31/1991,1558 combined,954
Bush 41,Secretary of Transportation,Sam Skinner,2/6/1989,12/13/1991,1040,1058
Bush 41,Chief of Staff,John Sununu,1/20/1989,12/15/1991,1059,1060
Bush 41,Secretary of Commerce,Robert Mosbacher,1/31/1989,1/15/1992,1079,1091
Bush 41,UN Ambassador,Tom Pickering,3/20/1989,5/7/1992,1144,1204
Bush 41,Chief of Staff,Sam Skinner,12/16/1991,8/23/1992,251,1312
Bush 41,Secretary of State,James Baker,1/25/1989,8/23/1992,1306,1312
Bush 41,Secretary of Veterans Affairs,Ed Derwinski,3/15/1989,9/26/1992,1291,1346
Bush 41,Attorney General,William Barr,11/26/1991,1/15/1993,416,1457
Bush 41,Secretary of the Treasury,Nicholas Brady,Reagan admin,1/17/1993,1584 combined,1459
Bush 41,Secretary of Housing & Urban Development,Jack Kemp,2/13/1989,1/19/1993,1436,1461
Bush 41,Secretary of State,Lawrence Eagleburger,12/8/1992,1/19/1993,42,1461
Bush 41,Chief of Staff,James Baker,8/23/1992,1/20/1993,150,1462
Bush 41,Director of Central Intelligence,Bob Gates,11/6/1991,1/20/1993,441,1462
Bush 41,EPA Administrator,William Reilly,2/6/1989,1/20/1993,1444,1462
Bush 41,OMB Director,Dick Darman,1/25/1989,1/20/1993,1456,1462
Bush 41,SBA Administrator,Pat Saiki,3/27/1991,1/20/1993,665,1462
Bush 41,Secretary of Agriculture,Ed Madigan,3/12/1991,1/20/1993,680,1462
Bush 41,Secretary of Commerce,Barbara Franklin,2/27/1992,1/20/1993,328,1462
Bush 41,Secretary of Defense,Dick Cheney,3/21/1989,1/20/1993,1401,1462
Bush 41,Secretary of Education,Lamar Alexander,3/18/1991,1/20/1993,674,1462
Bush 41,Secretary of Energy,James Watkins,3/1/1989,1/20/1993,1421,1462
Bush 41,Secretary of Health & Human Services,Louis Sullivan,3/1/1989,1/20/1993,1421,1462
Bush 41,Secretary of Labor,Lynn Morley Martin,2/7/1991,1/20/1993,713,1462
Bush 41,Secretary of the Interior,Manuel Luján Jr.,2/3/1989,1/20/1993,1447,1462
Bush 41,Secretary of Transportation,Andy Card,3/11/1992,1/20/1993,315,1462
Bush 41,U.S. Trade Representative,Carla Hills,2/6/1989,1/20/1993,1444,1462
Bush 41,Vice President,Dan Quayle,1/20/1989,1/20/1993,1461,1462
Bush 41,UN Ambassador,Edward Perkins,5/12/1992,1/27/1993,260,1469
Clinton,Secretary of Defense,Les Aspin,1/21/1993,2/3/1994,378,380
Clinton,Chief of Staff,Mack McLarty,1/20/1993,7/17/1994,543,544
Clinton,OMB Director,Leon Panetta,1/21/1993,7/17/1994,542,544
Clinton,SBA Administrator,Erskine Bowles,5/12/1993,10/6/1994,512,625
Clinton,Secretary of the Treasury,Lloyd Bentsen,1/22/1993,12/22/1994,699,702
Clinton,Secretary of Agriculture,Mike Espy,1/22/1993,12/31/1994,708,711
Clinton,Director of Central Intelligence,Jim Woolsey,2/5/1993,1/10/1995,704,721
Clinton,Secretary of Commerce,Ron Brown,1/22/1993,4/3/1996,1167,1170
Clinton,U.S. Trade Representative,Mickey Kantor,1/22/1993,4/12/1996,1176,1179
Clinton,OMB Director,Alice Rivlin,10/17/1994,4/26/1996,557,1193
