politician,response,date,pct_estimate
Mike Pence,favorable,2023-04-09,36.71361687
Mike Pence,unfavorable,2023-04-09,47.83699426
Mike Pence,favorable,2023-04-08,36.71361687
Mike Pence,unfavorable,2023-04-08,47.83699426
Mike Pence,favorable,2023-04-07,36.71361687
Mike Pence,unfavorable,2023-04-07,47.83699426
Mike Pence,favorable,2023-04-06,36.71361687
Mike Pence,unfavorable,2023-04-06,47.83699426
Mike Pence,favorable,2023-04-05,36.71361687
Mike Pence,unfavorable,2023-04-05,47.83699426
Mike Pence,favorable,2023-04-04,36.71361687
Mike Pence,unfavorable,2023-04-04,47.83699426
Mike Pence,favorable,2023-04-03,36.01659504
Mike Pence,unfavorable,2023-04-03,47.95175868
Mike Pence,favorable,2023-04-02,36.01659504
Mike Pence,unfavorable,2023-04-02,47.95175868
Mike Pence,favorable,2023-04-01,36.01659504
Mike Pence,unfavorable,2023-04-01,47.95175868
Mike Pence,favorable,2023-03-31,36.01659504
Mike Pence,unfavorable,2023-03-31,47.95175868
Mike Pence,favorable,2023-03-30,33.51356774
Mike Pence,unfavorable,2023-03-30,48.43429054
Mike Pence,favorable,2023-03-29,33.55204809
Mike Pence,unfavorable,2023-03-29,48.3028826
Mike Pence,favorable,2023-03-28,33.55204809
Mike Pence,unfavorable,2023-03-28,48.3028826
Mike Pence,favorable,2023-03-27,33.55204809
Mike Pence,unfavorable,2023-03-27,48.3028826
Mike Pence,favorable,2023-03-26,41.10213912
Mike Pence,unfavorable,2023-03-26,44.39040538
Mike Pence,favorable,2023-03-25,41.10213912
Mike Pence,unfavorable,2023-03-25,44.39040538
Mike Pence,favorable,2023-03-24,41.10213912
Mike Pence,unfavorable,2023-03-24,44.39040538
Mike Pence,favorable,2023-03-23,41.10213912
Mike Pence,unfavorable,2023-03-23,44.39040538
Mike Pence,favorable,2023-03-22,33.65339322
Mike Pence,unfavorable,2023-03-22,51.36052514
Mike Pence,favorable,2023-03-21,33.65339322
Mike Pence,unfavorable,2023-03-21,51.36052514
