politician,response,date,pct_estimate
Nikki Haley,favorable,2023-04-06,32.18590256
Nikki Haley,unfavorable,2023-04-06,33.37909338
Nikki Haley,favorable,2023-04-05,32.11853101
Nikki Haley,unfavorable,2023-04-05,33.46084941
Nikki Haley,favorable,2023-04-04,32.11853101
Nikki Haley,unfavorable,2023-04-04,33.46084941
Nikki Haley,favorable,2023-04-03,30.22212484
Nikki Haley,unfavorable,2023-04-03,27.1552638
Nikki Haley,favorable,2023-04-02,30.22212484
Nikki Haley,unfavorable,2023-04-02,27.1552638
Nikki Haley,favorable,2023-04-01,30.22212484
Nikki Haley,unfavorable,2023-04-01,27.1552638
Nikki Haley,favorable,2023-03-31,30.22212484
Nikki Haley,unfavorable,2023-03-31,27.1552638
Nikki Haley,favorable,2023-03-30,29.93490294
Nikki Haley,unfavorable,2023-03-30,27.19738755
Nikki Haley,favorable,2023-03-29,29.9659929
Nikki Haley,unfavorable,2023-03-29,27.15200623
Nikki Haley,favorable,2023-03-28,29.9659929
Nikki Haley,unfavorable,2023-03-28,27.15200623
Nikki Haley,favorable,2023-03-27,29.9659929
Nikki Haley,unfavorable,2023-03-27,27.15200623
Nikki Haley,favorable,2023-03-26,39.48620734
Nikki Haley,unfavorable,2023-03-26,29.37494512
Nikki Haley,favorable,2023-03-25,39.48620734
Nikki Haley,unfavorable,2023-03-25,29.37494512
Nikki Haley,favorable,2023-03-24,39.48620734
Nikki Haley,unfavorable,2023-03-24,29.37494512
Nikki Haley,favorable,2023-03-23,39.48620734
Nikki Haley,unfavorable,2023-03-23,29.37494512
Nikki Haley,favorable,2023-03-22,24.4127918
Nikki Haley,unfavorable,2023-03-22,28.64089641
Nikki Haley,favorable,2023-03-21,24.4127918
Nikki Haley,unfavorable,2023-03-21,28.64089641
Nikki Haley,favorable,2023-03-20,22.93946583
Nikki Haley,unfavorable,2023-03-20,29.59171895
Nikki Haley,favorable,2023-03-19,22.93946583
Nikki Haley,unfavorable,2023-03-19,29.59171895
Nikki Haley,favorable,2023-03-18,22.93946583
Nikki Haley,unfavorable,2023-03-18,29.59171895
Nikki Haley,favorable,2023-03-17,22.93946583
Nikki Haley,unfavorable,2023-03-17,29.59171895
Nikki Haley,favorable,2023-03-16,22.93946583
Nikki Haley,unfavorable,2023-03-16,29.59171895
Nikki Haley,favorable,2023-03-15,23.28086453
Nikki Haley,unfavorable,2023-03-15,29.98031502
Nikki Haley,favorable,2023-03-14,31.66525723
Nikki Haley,unfavorable,2023-03-14,23.84990963
Nikki Haley,favorable,2023-03-13,31.66525723
Nikki Haley,unfavorable,2023-03-13,23.84990963
Nikki Haley,favorable,2023-03-12,31.66525723
Nikki Haley,unfavorable,2023-03-12,23.84990963
Nikki Haley,favorable,2023-03-11,31.66525723
Nikki Haley,unfavorable,2023-03-11,23.84990963
Nikki Haley,favorable,2023-03-10,31.66525723
Nikki Haley,unfavorable,2023-03-10,23.84990963
Nikki Haley,favorable,2023-03-09,31.28956708
Nikki Haley,unfavorable,2023-03-09,23.82065036
Nikki Haley,favorable,2023-03-08,32.21514225
Nikki Haley,unfavorable,2023-03-08,24.06594943
Nikki Haley,favorable,2023-03-07,32.21514225
Nikki Haley,unfavorable,2023-03-07,24.06594943
Nikki Haley,favorable,2023-03-06,32.21514225
Nikki Haley,unfavorable,2023-03-06,24.06594943
Nikki Haley,favorable,2023-03-05,32.21514225
Nikki Haley,unfavorable,2023-03-05,24.06594943
Nikki Haley,favorable,2023-03-04,37.94252907
Nikki Haley,unfavorable,2023-03-04,30.49477894
Nikki Haley,favorable,2023-03-03,37.94252907
Nikki Haley,unfavorable,2023-03-03,30.49477894
Nikki Haley,favorable,2023-03-02,30.554596
Nikki Haley,unfavorable,2023-03-02,31.867365
Nikki Haley,favorable,2023-03-01,30.554596
Nikki Haley,unfavorable,2023-03-01,31.867365
Nikki Haley,favorable,2023-02-28,32.072136
Nikki Haley,unfavorable,2023-02-28,31.208378
Nikki Haley,favorable,2023-02-27,32.072136
Nikki Haley,unfavorable,2023-02-27,31.208378
Nikki Haley,favorable,2023-02-26,32.072136
Nikki Haley,unfavorable,2023-02-26,31.208378
Nikki Haley,favorable,2023-02-25,32.072136
Nikki Haley,unfavorable,2023-02-25,31.208378
Nikki Haley,favorable,2023-02-24,32.072136
Nikki Haley,unfavorable,2023-02-24,31.208378
Nikki Haley,favorable,2023-02-23,32.072136
Nikki Haley,unfavorable,2023-02-23,31.208378
Nikki Haley,favorable,2023-02-22,37.186359
Nikki Haley,unfavorable,2023-02-22,34.269276
Nikki Haley,favorable,2023-02-21,37.186359
Nikki Haley,unfavorable,2023-02-21,34.269276
Nikki Haley,favorable,2023-02-20,44.810303
Nikki Haley,unfavorable,2023-02-20,34.469246
Nikki Haley,favorable,2023-02-19,35.576958
Nikki Haley,unfavorable,2023-02-19,27.383696
Nikki Haley,favorable,2023-02-18,35.576958
Nikki Haley,unfavorable,2023-02-18,27.383696
Nikki Haley,favorable,2023-02-17,35.576958
Nikki Haley,unfavorable,2023-02-17,27.383696
Nikki Haley,favorable,2023-02-16,35.576958
Nikki Haley,unfavorable,2023-02-16,27.383696
Nikki Haley,favorable,2023-02-15,29.283199
Nikki Haley,unfavorable,2023-02-15,26.873518
Nikki Haley,favorable,2023-02-14,29.283199
Nikki Haley,unfavorable,2023-02-14,26.873518
Nikki Haley,favorable,2023-02-13,30.149645
Nikki Haley,unfavorable,2023-02-13,32.905293
Nikki Haley,favorable,2023-02-12,30.149645
Nikki Haley,unfavorable,2023-02-12,32.905293
Nikki Haley,favorable,2023-02-11,29.667959
Nikki Haley,unfavorable,2023-02-11,37.011444
Nikki Haley,favorable,2023-02-10,32.951969
Nikki Haley,unfavorable,2023-02-10,29.472567
Nikki Haley,favorable,2023-02-09,32.951969
Nikki Haley,unfavorable,2023-02-09,29.472567
Nikki Haley,favorable,2023-02-08,32.951969
Nikki Haley,unfavorable,2023-02-08,29.472567
Nikki Haley,favorable,2023-02-07,32.951969
Nikki Haley,unfavorable,2023-02-07,29.472567
Nikki Haley,favorable,2023-02-06,30.487793
Nikki Haley,unfavorable,2023-02-06,28.702703
Nikki Haley,favorable,2023-02-05,30.487793
Nikki Haley,unfavorable,2023-02-05,28.702703
Nikki Haley,favorable,2023-02-04,28.777405
Nikki Haley,unfavorable,2023-02-04,25.926027
Nikki Haley,favorable,2023-02-03,28.777405
Nikki Haley,unfavorable,2023-02-03,25.926027
Nikki Haley,favorable,2023-02-02,28.777405
Nikki Haley,unfavorable,2023-02-02,25.926027
Nikki Haley,favorable,2023-02-01,28.777405
Nikki Haley,unfavorable,2023-02-01,25.926027
Nikki Haley,favorable,2023-01-31,28.777405
Nikki Haley,unfavorable,2023-01-31,25.926027
Nikki Haley,favorable,2023-01-30,28.777405
Nikki Haley,unfavorable,2023-01-30,25.926027
Nikki Haley,favorable,2023-01-29,28.777405
Nikki Haley,unfavorable,2023-01-29,25.926027
Nikki Haley,favorable,2023-01-28,28.777405
Nikki Haley,unfavorable,2023-01-28,25.926027
Nikki Haley,favorable,2023-01-27,28.777405
