Question,Start,End,Pollster,Population,Text,Support,Republican Support,Democratic Support,URL
repeal-2nd-amendment,2/20/18,2/23/18,CNN/SSRS,rv,Preventing all Americans from owning guns,10,5,15,"http://cdn.cnn.com/cnn/2018/images/02/25/rel3a.-.trump,.guns.pdf"
stricter-gun-laws,2/27/18,2/28/18,NPR/Ipsos,a,Which of the following statements comes closest to your overall view of gun laws in this country? Do you think ... (1) Gun laws should be a lot more strict than they are today (2) Gun laws should be somewhat more strict than they are today (3) Gun laws are about right (4) Gun laws should be somewhat less strict than they are today (5) Gun laws should be a lot less strict than they are today,75,59,92,https://www.ipsos.com/en-us/npripsos-poll-majority-americans-support-policies-aimed-keep-guns-out-hands-dangerous-individuals
stricter-gun-laws,2/25/18,2/27/18,YouGov,rv,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",63,43,87,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/h8n9gvrqyj/econTabReport.pdf
stricter-gun-laws,2/20/18,2/23/18,CNN/SSRS,rv,Do you favor or oppose stricter gun control laws?,70,49,93,"http://cdn.cnn.com/cnn/2018/images/02/25/rel3a.-.trump,.guns.pdf"
stricter-gun-laws,2/20/18,2/23/18,CBS News,a,"In general, do you think laws covering the sale of guns should be made more strict, less strict, or kept as they are now?",65,43,85,https://drive.google.com/file/d/0ByVu4fDHYJgVbjh5OW1Tb3FRdWxJQUpJSUdHUXdma1RKU0tV/view
stricter-gun-laws,2/20/18,2/21/18,Marist,rv,"Do you think the laws covering the sale of guns should be more strict, less strict, or kept as they are now?",73,55,93,"http://maristpoll.marist.edu/wp-content/misc/usapolls/us180220/Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_February%2023,%202018.pdf#page=3"
stricter-gun-laws,2/18/18,2/20/18,YouGov,rv,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",58,36,76,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf
stricter-gun-laws,2/16/18,2/19/18,Quinnipiac,rv,Do you support or oppose stricter gun laws in the United States?,66,34,86,https://poll.qu.edu/images/polling/us/us02202018_ugbw51.pdf/
stricter-gun-laws,2/22/18,2/26/18,Morning Consult,rv,Do you support or oppose stricter gun control laws in the United States?,68,53,89,https://morningconsult.com/wp-content/uploads/2018/02/180217_crosstabs_POLITICO_v1_DK-1.pdf
stricter-gun-laws,3/3/18,3/5/18,Quinnipiac,rv,Do you support or oppose stricter gun laws in the United States?,63,39,88,https://poll.qu.edu/national/release-detail?ReleaseID=2525
stricter-gun-laws,3/4/18,3/6/18,YouGov,rv,"In general, do you feel the laws covering the sale of handguns should be made more strict than they are now?",61,42,82,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zq33h2ipcl/econTabReport.pdf
stricter-gun-laws,3/1/18,3/5/18,Morning Consult,rv,Do you support or oppose stricter gun control laws in the United States?,69,57,85,https://morningconsult.com/wp-content/uploads/2018/03/180303_crosstabs_POLITICO_v1_DK-1.pdf
