NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Lawrence County, Ohio",57994,45229,36.22%,31.51%,34.91%,37.54%,-45.01%,54.72%,41.9,94.12%,1.53%,1.04%,0.63%,0.07%,0.06%,10.59%,43.34%,27.92%,18.15%
"Licking County, Ohio",178844,136114,45.22%,27.35%,37.11%,43.92%,-27.88%,66.22%,40.2,87.20%,4.03%,2.24%,2.72%,0.02%,0.04%,6.84%,33.66%,29.95%,29.55%
"Logan County, Ohio",46098,35267,43.60%,26.64%,41.60%,43.19%,-54.45%,44.37%,41.8,92.37%,1.61%,1.98%,0.65%,0.04%,0.11%,7.00%,43.36%,30.78%,18.86%
"Lorain County, Ohio",313101,241899,45.08%,23.90%,35.17%,42.43%,-2.43%,85.74%,41.9,76.61%,7.15%,10.60%,1.23%,0.01%,0.11%,8.79%,31.40%,32.59%,27.22%
"Lucas County, Ohio",430014,326185,35.97%,28.01%,35.08%,39.25%,16.63%,95.01%,38.1,67.05%,18.66%,7.67%,1.65%,0.04%,0.08%,9.15%,29.94%,32.95%,27.96%
"Madison County, Ohio",43961,34673,39.40%,21.36%,31.79%,39.04%,-40.72%,33.84%,41.4,87.09%,5.07%,2.56%,0.88%,0.02%,0.18%,11.17%,39.27%,29.17%,20.39%
"Mahoning County, Ohio",227979,179901,41.60%,30.41%,43.97%,44.09%,-1.89%,84.36%,43.3,74.62%,13.90%,6.55%,0.90%,0.01%,0.10%,8.56%,36.37%,28.90%,26.17%
"Marion County, Ohio",65366,51249,36.09%,23.80%,34.43%,43.83%,-38.20%,65.31%,40.7,86.97%,4.81%,3.02%,0.65%,0.04%,0.08%,10.53%,43.85%,32.15%,13.46%
"Medina County, Ohio",182347,141155,52.07%,30.61%,38.69%,49.56%,-23.23%,65.94%,42.7,92.38%,1.37%,2.49%,0.99%,0.00%,0.08%,4.96%,29.57%,29.56%,35.91%
"Meigs County, Ohio",22242,17321,37.50%,32.03%,34.46%,40.26%,-52.51%,11.97%,43.2,96.24%,0.43%,0.85%,0.00%,0.00%,0.02%,14.23%,45.59%,28.70%,11.48%
"Mercer County, Ohio",42321,31012,56.42%,29.23%,46.67%,50.91%,-64.51%,28.40%,39.4,94.65%,0.51%,1.97%,0.61%,0.50%,0.03%,6.99%,44.06%,28.59%,20.36%
"Miami County, Ohio",108818,82768,48.01%,28.86%,43.73%,45.51%,-44.05%,69.42%,41.1,91.07%,1.94%,1.93%,1.64%,0.01%,0.06%,7.17%,37.12%,31.04%,24.67%
"Monroe County, Ohio",13401,10593,38.81%,32.39%,46.19%,43.83%,-53.22%,1.34%,46.1,95.61%,0.89%,0.30%,0.10%,0.00%,0.03%,11.17%,49.56%,28.56%,10.72%
"Montgomery County, Ohio",536121,406497,40.89%,25.11%,36.11%,39.64%,2.23%,94.48%,39,69.26%,20.36%,3.42%,2.22%,0.02%,0.09%,8.30%,27.84%,33.89%,29.97%
"Morgan County, Ohio",13851,10947,41.32%,29.49%,38.93%,42.34%,-48.00%,0.00%,44.6,91.04%,3.21%,1.00%,0.12%,0.00%,0.10%,13.46%,44.68%,30.67%,11.18%
"Morrow County, Ohio",35049,27182,47.63%,33.20%,41.20%,43.27%,-54.01%,0.01%,42.7,95.08%,0.68%,1.73%,0.44%,0.00%,0.12%,10.25%,45.32%,27.53%,16.90%
"Muskingum County, Ohio",86393,66531,37.36%,26.74%,35.32%,38.94%,-38.99%,48.95%,40.5,90.83%,3.16%,1.31%,0.53%,0.00%,0.11%,9.60%,42.63%,28.43%,19.34%
"Noble County, Ohio",14216,11504,35.71%,29.83%,35.22%,42.16%,-61.37%,0.00%,51.9,93.63%,3.87%,1.28%,0.04%,0.00%,0.13%,15.27%,50.90%,20.72%,13.12%
"Ottawa County, Ohio",40367,33023,51.26%,33.15%,44.90%,51.95%,-23.18%,37.53%,49.8,91.01%,0.92%,5.35%,0.32%,0.01%,0.10%,6.90%,35.55%,30.66%,26.89%
"Paulding County, Ohio",18827,14236,43.85%,28.69%,44.28%,42.03%,-50.89%,0.00%,41.4,91.17%,0.56%,5.07%,0.24%,0.01%,0.10%,10.10%,44.67%,29.82%,15.41%
"Perry County, Ohio",35451,27000,41.39%,26.73%,36.85%,38.93%,-49.04%,19.54%,41.1,95.81%,0.26%,0.98%,0.08%,0.00%,0.10%,12.01%,45.60%,27.59%,14.80%
"Pickaway County, Ohio",58809,46123,40.57%,23.90%,33.76%,41.78%,-46.66%,39.54%,39.5,91.87%,3.55%,1.63%,0.14%,0.00%,0.04%,12.29%,40.73%,27.36%,19.62%
"Pike County, Ohio",27151,20645,35.73%,23.22%,33.80%,41.33%,-48.24%,18.34%,40.9,94.51%,1.09%,0.84%,0.31%,0.39%,0.35%,15.85%,47.54%,22.65%,13.97%
"Portage County, Ohio",161217,129225,43.95%,27.90%,35.09%,40.30%,-12.37%,62.00%,39.1,87.56%,4.56%,2.06%,1.81%,0.01%,0.04%,7.13%,36.03%,25.11%,31.74%
"Preble County, Ohio",40929,31775,44.18%,33.61%,42.14%,43.45%,-57.00%,23.74%,43,95.49%,0.68%,1.08%,0.23%,0.01%,0.05%,8.04%,44.56%,28.57%,18.83%
"Putnam County, Ohio",34400,25492,56.42%,38.02%,50.96%,52.03%,-65.85%,15.77%,40.3,91.25%,0.37%,6.57%,0.09%,0.02%,0.08%,5.19%,37.91%,30.99%,25.92%
