Candidate name,Date,City,State,Primary Purpose,Host organization,Notes
Nikki Haley,9/5/2023,Claremont,New Hampshire,Town Hall,,
Ron DeSantis,9/5/2023,Altoona,Pennsylvania,Fundraiser,DeSantis campaign,closed press
Ron DeSantis,9/5/2023,Harrisburg,Pennsylvania,Fundraiser,DeSantis campaign,closed press
Ron DeSantis,9/5/2023,Pittsburgh,Pennsylvania,Fundraiser,DeSantis campaign,closed press
Asa Hutchinson,9/6/2023,Oskaloosa,Iowa,,,unclear on date! https://twitter.com/AsaHutchinson/status/1698438130817241373
Doug Burgum,9/6/2023,Audubon,Iowa,,,
Doug Burgum,9/6/2023,Denison,Iowa,Meet and Greet,,
Doug Burgum,9/6/2023,Harlan,Iowa,Meet and Greet,,
Mike Pence,9/6/2023,Henniker,New Hampshire,Town Hall,,
Mike Pence,9/6/2023,Manchester,New Hampshire,Speech,NHIOP at St. Anselm,
Nikki Haley,9/6/2023,Manchester,New Hampshire,Town Hall,Moms for Liberty,
Nikki Haley,9/6/2023,Merrimack,New Hampshire,Town Hall,,
Asa Hutchinson,9/7/2023,Des Moines,Iowa,,,unclear on date! https://twitter.com/AsaHutchinson/status/1698438130817241373
Donald Trump,9/7/2023,Bedminster,New Jersey,Fundraiser,Giuliani Defense,
Nikki Haley,9/7/2023,Boiling Springs,South Carolina,Meet and Greet,,
Tim Scott,9/7/2023,Rye,New Hampshire,Meet and Greet,New Hampshire GOP,No B.S. BBQ
Asa Hutchinson,9/8/2023,Council Bluffs,Iowa,Candidate Forum,,
Asa Hutchinson,9/8/2023,Treynor,Iowa,Speech,Pottawattamie County GOP Lincoln-Reagan dinner,
Donald Trump,9/8/2023,Rapid City,South Dakota,Rally,South Dakota Republican Party,
Nikki Haley,9/8/2023,North Charleston,South Carolina,Town Hall,,
Tim Scott,9/8/2023,Manchester,New Hampshire,Town Hall,,
Tim Scott,9/8/2023,Meredith,New Hampshire,Town Hall,,
Vivek Ramaswamy,9/8/2023,Carroll,Iowa,Meet and Greet,Carrol County GOP,
Vivek Ramaswamy,9/8/2023,Clive,Iowa,"Local event (e.g., Iowa State Fair)",Polk County Summer Sizzle,
Vivek Ramaswamy,9/8/2023,Okoboji,Iowa,Rally,,
Vivek Ramaswamy,9/8/2023,Orange City,Iowa,Rally,,
Vivek Ramaswamy,9/8/2023,Urbandale,Iowa,Meet and Greet,Fox & Friends,
Asa Hutchinson,9/9/2023,Ames,Iowa,"Local event (e.g., Iowa State Fair)",,Iowa Hawkeyes vs. Iowa State Cyclones football game
Asa Hutchinson,9/9/2023,Nevada,Iowa,Meet and Greet,Story County GOP,
Donald Trump,9/9/2023,Ames,Iowa,"Local event (e.g., Iowa State Fair)",,Iowa Hawkeyes vs. Iowa State Cyclones football game
Doug Burgum,9/9/2023,Ames,Iowa,"Local event (e.g., Iowa State Fair)",,Iowa Hawkeyes vs. Iowa State Cyclones football game
Ron DeSantis,9/9/2023,Ames,Iowa,"Local event (e.g., Iowa State Fair)",Never Back Down,Iowa v. Iowa State game
Ron DeSantis,9/9/2023,Grundy Center,Iowa,Meet and Greet,Never Back Down,
Ron DeSantis,9/9/2023,Iowa Falls,Iowa,"Local event (e.g., Iowa State Fair)",Never Back Down,
Vivek Ramaswamy,9/9/2023,Ames,Iowa,"Local event (e.g., Iowa State Fair)",,Iowa Hawkeyes vs. Iowa State Cyclones football game
Vivek Ramaswamy,9/9/2023,Fort Dodge,Iowa,Rally,,
Vivek Ramaswamy,9/9/2023,Nevada,Iowa,Rally,,
Vivek Ramaswamy,9/9/2023,Salem,New Hampshire,Town Hall,,
Will Hurd,9/9/2023,Ames,Iowa,"Local event (e.g., Iowa State Fair)",,Iowa Hawkeyes vs. Iowa State Cyclones football game
Vivek Ramaswamy,9/10/2023,Durham,New Hampshire,Meet and Greet,Bruce Fenton,
Vivek Ramaswamy,9/10/2023,Hollis,New Hampshire,Meet and Greet,Bruce Fenton,
Vivek Ramaswamy,9/10/2023,New York,New York,"Local event (e.g., Iowa State Fair)",,U.S. Open
Will Hurd,9/10/2023,Clay County,Iowa,"Local event (e.g., Iowa State Fair)",County Fair,
Chris Christie,9/11/2023,Rye,New Hampshire,Meet and Greet,New Hampshire GOP,Scott Brown No B.S. BBQ
Mike Pence,9/11/2023,Ankeny,Iowa,"Local event (e.g., Iowa State Fair)",,9/11 memorial
Mike Pence,9/11/2023,Charles City,Iowa,Town Hall,Valero Renewables,
Mike Pence,9/11/2023,Cresco,Iowa,Town Hall,,
Mike Pence,9/11/2023,Polk City,Iowa,Press/Interview,KCCI Coffee with the Candidate,
Mike Pence,9/11/2023,Sheffield,Iowa,Town Hall,Sukup Manufacturing,
Mike Pence,9/11/2023,Waukon,Iowa,Town Hall,Howard County GOP,
Ron DeSantis,9/11/2023,New York,New York,"Local event (e.g., Iowa State Fair)",,9/11 memorial
Vivek Ramaswamy,9/11/2023,New York,New York,"Local event (e.g., Iowa State Fair)",,9/11 memorial
Will Hurd,9/11/2023,Des Moines,Iowa,"Local event (e.g., Iowa State Fair)",,9/11 memorial walk
Chris Christie,9/12/2023,Goffstown,New Hampshire,Meet and Greet,,
Mike Pence,9/12/2023,Decorah,Iowa,Meet and Greet,,
Mike Pence,9/12/2023,New Hampton,Iowa,Meet and Greet,,
Mike Pence,9/12/2023,Waterloo,Iowa,Town Hall,,
Mike Pence,9/12/2023,Waukon,Iowa,Meet and Greet,,
Mike Pence,9/12/2023,Waverly,Iowa,Meet and Greet,,
Nikki Haley,9/12/2023,Atlanta,Georgia,Meet and Greet,Women for Nikki,
Ron DeSantis,9/12/2023,,New York,Meet and Greet,,Meeting with orthodox Jewish community
Asa Hutchinson,9/13/2023,Harrisburg,Pennsylvania,Meet and Greet,"""Pennsylvania business leaders""",
Doug Burgum,9/13/2023,Denison,Iowa,Meet and Greet,,
Mike Pence,9/13/2023,Des Moines,Iowa,Town Hall,NewsNation,
Mike Pence,9/13/2023,Independence,Iowa,Meet and Greet,,
Ron DeSantis,9/13/2023,Greenwich,Connecticut,Fundraiser,,closed press
Vivek Ramaswamy,9/13/2023,Bettendorf,Iowa,Rally,Scott County Republican Women,
Vivek Ramaswamy,9/13/2023,Washington,District of Columbia,Speech,America First Policy Institute,
Asa Hutchinson,9/14/2023,Adel,Iowa,Candidate Forum,Dallas County GOP,Party like a Patriot
Vivek Ramaswamy,9/14/2023,Decorah,Iowa,Rally,Winneshiek County GOP,
Vivek Ramaswamy,9/14/2023,Dubuque,Iowa,Rally,Dubuque County GOP,
Vivek Ramaswamy,9/14/2023,Fayette,Iowa,Town Hall,Fayette County GOP,
Vivek Ramaswamy,9/14/2023,Waterloo,Iowa,Rally,BlackHawk County GOP,
Asa Hutchinson,9/15/2023,Spencer,Iowa,"Local event (e.g., Iowa State Fair)",Clay County Fair,
Donald Trump,9/15/2023,Washington,District of Columbia,Speech,Pray Vote Stand Summit,
Mike Pence,9/15/2023,Washington,District of Columbia,Speech,Family Research Council Pray Vote Stand Summit,
Nikki Haley,9/15/2023,Grand Mound,Iowa,Meet and Greet,,
Nikki Haley,9/15/2023,Le Claire,Iowa,Fundraiser,,with Marianette Miller-Meeks
Ron DeSantis,9/15/2023,Washington,District of Columbia,Speech,Concerned Women for America summit,
Ron DeSantis,9/15/2023,Washington,District of Columbia,Speech,Pray Vote Stand Summit,
Tim Scott,9/15/2023,Duncan,South Carolina,Roundtable,Spartanburg Community College,focused on economic policy
Vivek Ramaswamy,9/15/2023,Washington,District of Columbia,Speech,Family Research Council Pray Vote Stand Summit,
Asa Hutchinson,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Asa Hutchinson,9/16/2023,Newton,Iowa,"Local event (e.g., Iowa State Fair)",Republican Party Annual Trap Shoot,
Doug Burgum,9/16/2023,Manchester,New Hampshire,"Local event (e.g., Iowa State Fair)",Glendi Greek Fest,
Mike Pence,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Mike Pence,9/16/2023,Newton,Iowa,"Local event (e.g., Iowa State Fair)",Jasper County GOP,10th Annual Trap Shoot
Nikki Haley,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Nikki Haley,9/16/2023,Indianola,Iowa,Q&A,American Free Enterprise,with Terry Branstad
Nikki Haley,9/16/2023,West Des Moines,Iowa,Town Hall,,
Ron DeSantis,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Ron DeSantis,9/16/2023,Des Moines,Iowa,Rally,,
Ron DeSantis,9/16/2023,Red Oak,Iowa,Meet and Greet,Never Back Down,
Tim Scott,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Tim Scott,9/16/2023,Dubuque,Iowa,Town Hall,,
Vivek Ramaswamy,9/16/2023,Des Moines,Iowa,Town Hall,,
Vivek Ramaswamy,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Will Hurd,9/16/2023,Des Moines,Iowa,Speech,Iowa Faith & Freedom Coalition Banquet,
Doug Burgum,9/17/2023,Concord,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,9/17/2023,Spencer,Iowa,"Local event (e.g., Iowa State Fair)",,Clay County Fair
Asa Hutchinson,9/18/2023,Columbia,South Carolina,Press/Interview,AARP South Carolina,Pints & Politics
Doug Burgum,9/18/2023,Laconia,New Hampshire,Meet and Greet,,
Mike Pence,9/18/2023,Washington,District of Columbia,Speech,Hudson Institute,
Ron DeSantis,9/18/2023,Clay County,Florida,Fundraiser,,
Ron DeSantis,9/18/2023,Jacksonville,Florida,Fundraiser,,
Ron DeSantis,9/18/2023,St. Johns County,Florida,Fundraiser,,
Tim Scott,9/18/2023,Fort Dodge,Iowa,Meet and Greet,,
Tim Scott,9/18/2023,Mason City,Iowa,Meet and Greet,,
Tim Scott,9/18/2023,Nevada,Iowa,Meet and Greet,ALMACO Manufacturing,
Asa Hutchinson,9/19/2023,Concord,New Hampshire,Speech,Concord GOP,Politics and Pies
Asa Hutchinson,9/19/2023,Concord,New Hampshire,Press/Interview,,Pints & Politics
Asa Hutchinson,9/19/2023,Nashua,New Hampshire,Roundtable,,
Chris Christie,9/19/2023,North Hampton,New Hampshire,Town Hall,,
Chris Christie,9/20/2023,,New Hampshire,Campaign stop,,Not sure what town
Donald Trump,9/20/2023,Bettendorf,Iowa,Meet and Greet,Trump campaign,"OTR stop after the Dubuque remarks, at Treehouse Pub & Eatery "
Donald Trump,9/20/2023,Dubuque,Iowa,Speech,Trump campaign,
Donald Trump,9/20/2023,Maquoketa,Iowa,Speech,Trump campaign,Team Trump Iowa Commit to Caucus 
Nikki Haley,9/20/2023,New York,New York,Press/Interview,"Fox & Friends, NY Young Republicans",
Ron DeSantis,9/20/2023,Houston,Texas,Fundraiser,DeSantis campaign,
Ron DeSantis,9/20/2023,Midland,Texas,Speech,,
Tim Scott,9/20/2023,Windham,New Hampshire,Meet and Greet,NHIOP,Politics & Eggs
Vivek Ramaswamy,9/20/2023,New York,New York,Speech,Messari Mainnet conference (crypto),
Nikki Haley,9/21/2023,Hampton,New Hampshire,Town Hall,,
Ron DeSantis,9/21/2023,Dallas,Texas,Fundraiser,DeSantis campaign,
Ron DeSantis,9/21/2023,Tyler,Texas,Fundraiser,DeSantis campaign,
Vivek Ramaswamy,9/21/2023,New Albany,Ohio,Speech,,
Will Hurd,9/21/2023,"Washington, D.C.",District of Columbia,Press/Interview,Las Vegas Chamber,
Nikki Haley,9/22/2023,Manchester,New Hampshire,Speech,NHIOP at Saint Anselm College,
Ron DeSantis,9/22/2023,San Antonio,Texas,Fundraiser,DeSantis campaign,
Ron DeSantis,9/22/2023,Waco,Texas,Fundraiser,DeSantis campaign,
Vivek Ramaswamy,9/22/2023,Mackinac,Michigan,Speech,Mackinac Leadership Conference,
Will Hurd,9/23/2023,Austin,Texas,Press/Interview,Texas Tribune Festival,
Chris Christie,9/24/2023,Phoenix,Arizona,football game,Cowboys at Cardinals,
Ron DeSantis,9/24/2023,Coronado,California,"Local event (e.g., Iowa State Fair)",,veterans appreciation
Donald Trump,9/25/2023,Summerville,South Carolina,Rally,Trump campaign,
Tim Scott,9/26/2023,,California,Campaign stop,,
Asa Hutchinson,9/27/2023,Detroit,Michigan,Press/Interview,,
Chris Christie,9/27/2023,Simi Valley,California,Debate,,
Donald Trump,9/27/2023,Clinton Township,Michigan,Speech,Trump campaign,
Doug Burgum,9/27/2023,Simi Valley,California,Debate,,
Mike Pence,9/27/2023,Simi Valley,California,Debate,,
Nikki Haley,9/27/2023,Simi Valley,California,Debate,,
Ron DeSantis,9/27/2023,Simi Valley,California,Debate,,
Tim Scott,9/27/2023,Simi Valley,California,Debate,,
Vivek Ramaswamy,9/27/2023,Simi Valley,California,Debate,,
Nikki Haley,9/28/2023,Los Angeles,California,Fundraiser,,closed press
Ron DeSantis,9/28/2023,Salinas,California,Fundraiser,,Private fundraising brunch with Big Ag CEOs
Chris Christie,9/29/2023,Keene,New Hampshire,Town Hall,,
Donald Trump,9/29/2023,Anaheim,California,Speech,California Republican Party,
Donald Trump,9/29/2023,Beverly Hills,California,Fundraiser,Trump campaign,private fundraiser
Donald Trump,9/29/2023,Los Angeles,California,Meet and Greet,Trump campaign,OTR stop at ice cream shop Carvel in Westwood neighborhood
Ron DeSantis,9/29/2023,Anaheim,California,Speech,California Republican Party,
Ron DeSantis,9/29/2023,Long Beach,California,campaign event,,
Tim Scott,9/29/2023,Anaheim,California,Speech,California Republican Party,
Vivek Ramaswamy,9/29/2023,,California,Fundraiser,American Exceptionalism PAC,
Will Hurd,9/29/2023,Washington,District of Columbia,Speech,The Atlantic Festival,
Asa Hutchinson,9/30/2023,Miami,Florida,Speech,L'ATITUDE conference,
Donald Trump,9/30/2023,Costa Mesa,California,Fundraiser,Trump campaign,private fundraiser
Doug Burgum,9/30/2023,Fargo,North Dakota,Tailgate,,NDSU football game
Mike Pence,9/30/2023,Albia,Iowa,"Local event (e.g., Iowa State Fair)",,Pancake Day Parade
Mike Pence,9/30/2023,Centerville,Iowa,"Local event (e.g., Iowa State Fair)",,Pancake Day Parade
Nikki Haley,9/30/2023,Clive,Iowa,Town Hall,,
Vivek Ramaswamy,9/30/2023,Anaheim,California,Speech,California Republican Party,
Donald Trump,10/1/2023,Ottumwa,Iowa,Speech,Trump campaign,Team Trump Iowa Commit to Caucus
Doug Burgum,10/1/2023,Coralville,Iowa,Meet and Greet,,
Vivek Ramaswamy,10/1/2023,Las Vegas,Nevada,Rally,,
Will Hurd,10/2/2023,Manchester,New Hampshire,Meet and Greet,,
Mike Pence,10/3/2023,Ames,Iowa,Candidate Forum,"ISU, Georgetown, Clemson, UNH",
Tim Scott,10/3/2023,Dallas,Texas,,meet with mayor,
Tim Scott,10/3/2023,Des Moines,Iowa,,,
Ron DeSantis,10/4/2023,Greenville,South Carolina,bus tour,,
Ron DeSantis,10/4/2023,Spartanburg,South Carolina,bus tour,,
Tim Scott,10/4/2023,Polk City,Iowa,Town Hall,KCCI,
Tim Scott,10/4/2023,Van Meter,Iowa,Town Hall,,
Vivek Ramaswamy,10/4/2023,Big Rapids,Michigan,Rally,,
Vivek Ramaswamy,10/4/2023,Flint,Michigan,Town Hall,,
Vivek Ramaswamy,10/4/2023,Saginaw,Michigan,Town Hall,,
Chris Christie,10/5/2023,Laconia,New Hampshire,Town Hall,,
Nikki Haley,10/5/2023,Midland,Texas,Fundraiser,,
Ron DeSantis,10/5/2023,Tampa,Florida,,,endorsements from sherriffs
Vivek Ramaswamy,10/5/2023,West Des Moines,Iowa,Rally,,Vektoberfest
Asa Hutchinson,10/6/2023,Des Moines,Iowa,Speech,Des Moines AM Rotary Club,
Asa Hutchinson,10/6/2023,Jewell Junction,Iowa,,,
Mike Pence,10/6/2023,Atlantic,Iowa,football game,,
Mike Pence,10/6/2023,Greenfield,Iowa,Meet and Greet,,
Mike Pence,10/6/2023,Mount Ayr,Iowa,Meet and Greet,,
Mike Pence,10/6/2023,Sidney,Iowa,Meet and Greet,,
Tim Scott,10/6/2023,Bluffton,South Carolina,,,
Vivek Ramaswamy,10/6/2023,Gorham,New Hampshire,Town Hall,,
Vivek Ramaswamy,10/6/2023,Tamworth,New Hampshire,Town Hall,,
Asa Hutchinson,10/7/2023,Ottumwa,Iowa,"Local event (e.g., Iowa State Fair)",Oktoberfest Parade,
Donald Trump,10/7/2023,Cedar Rapids,Iowa,Speech,,
Donald Trump,10/7/2023,Waterloo,Iowa,commit to caucus event,,
Doug Burgum,10/7/2023,Ankeny,Iowa,roundtable,American Free Enterprise Chamber of Commerce,
Mike Pence,10/7/2023,Corning,Iowa,Meet and Greet,,
Mike Pence,10/7/2023,Glenwood,Iowa,Town Hall,,
Mike Pence,10/7/2023,Red Oak,Iowa,Town Hall,,
Ron DeSantis,10/7/2023,Ankeny,Iowa,bus tour,,
Ron DeSantis,10/7/2023,Bloomfield,Iowa,bus tour,,
Ron DeSantis,10/7/2023,Keosauqua,Iowa,bus tour,,
Vivek Ramaswamy,10/7/2023,Keene,New Hampshire,Fundraiser,NH GOP,Reagan-Coolidge Dinner
Vivek Ramaswamy,10/7/2023,Pittsburg,New Hampshire,Meet and Greet,,
Nikki Haley,10/8/2023,Sioux City,Iowa,Town Hall,,
Ron DeSantis,10/8/2023,Cedar Rapids,Iowa,bus tour,,
Vivek Ramaswamy,10/8/2023,Manchester,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,10/8/2023,Northfield,New Hampshire,Town Hall,,
Donald Trump,10/9/2023,Wolfeboro,New Hampshire,Speech,,
Nikki Haley,10/9/2023,Boone,Iowa,Town Hall,,
Nikki Haley,10/9/2023,Ida Grove,Iowa,Town Hall,,
Ron DeSantis,10/9/2023,Hull,Iowa,Fundraiser,,with Skyler Wheeler
Ron DeSantis,10/9/2023,Le Mars,Iowa,bus tour,,
Ron DeSantis,10/9/2023,Storm Lake,Iowa,bus tour,,
Tim Scott,10/9/2023,Greenville,South Carolina,Meet and Greet,,
Vivek Ramaswamy,10/9/2023,Rock Hill,South Carolina,Town Hall,Winthrop University,
Vivek Ramaswamy,10/9/2023,Spartanburg,South Carolina,Town Hall,,
Asa Hutchinson,10/10/2023,Exeter,New Hampshire,Candidate Forum,USA Today,
Asa Hutchinson,10/10/2023,Manchester,New Hampshire,Press/Interview,WMUR Candidate Cafe,
Chris Christie,10/10/2023,Park City,Utah,Fundraiser,E2 Summit,closed press
Doug Burgum,10/10/2023,Park City,Utah,Fundraiser,E2 Summit,closed press
Mike Pence,10/10/2023,Park City,Utah,Fundraiser,E2 Summit,closed press
Nikki Haley,10/10/2023,Park City,Utah,Fundraiser,E2 Summit,closed press
Tim Scott,10/10/2023,Washington,District of Columbia,Speech,Hudson Institute,
Asa Hutchinson,10/11/2023,Boston,Massachusetts,Bruins game,,
Asa Hutchinson,10/11/2023,,New Hampshire,Filing for ballot access,,
Donald Trump,10/11/2023,Palm Beach,Florida,Rally,Club 47,
Doug Burgum,10/11/2023,Washington,District of Columbia,Speech,Hudson Institute,
Tim Scott,10/11/2023,Des Moines,Iowa,Meet and Greet,,
Asa Hutchinson,10/12/2023,Bettendorf,Iowa,Speech,Ronald Reagan Dinner,
Doug Burgum,10/12/2023,Concord,New Hampshire,filing for ballot access,,
Doug Burgum,10/12/2023,Hanover,New Hampshire,Meet and Greet,Dartmouth College,
Doug Burgum,10/12/2023,Manchester,New Hampshire,Press/Interview,WMUR Candidate Cafe,
Nikki Haley,10/12/2023,Exeter,New Hampshire,Candidate Forum,"Seacoast Media Group, USA Today Network",
Nikki Haley,10/12/2023,Rochester,New Hampshire,Town Hall,,
Ron DeSantis,10/12/2023,,New Hampshire,Filing for ballot access,,
Tim Scott,10/12/2023,Bettendorf,Iowa,Dinner,Scott County GOP Ronald Reagan Dinner,
Tim Scott,10/12/2023,Davenport,Iowa,Town Hall,Scott County GOP,
Tim Scott,10/12/2023,Des Moines,Iowa,,,
Tim Scott,10/12/2023,Newton,Iowa,Meet and Greet,,
Tim Scott,10/12/2023,Newton,Iowa,Meet and Greet,,
Vivek Ramaswamy,10/12/2023,Austin,Texas,form,,free speech forum
Chris Christie,10/13/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Doug Burgum,10/13/2023,Exeter,New Hampshire,Candidate Forum,USA Today,
Doug Burgum,10/13/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Doug Burgum,10/13/2023,Nashua,New Hampshire,Town Hall,Bastion Institute,
Mike Pence,10/13/2023,Concord,New Hampshire,Filing for ballot access,,
Mike Pence,10/13/2023,Exeter,New Hampshire,Candidate Forum,USA Today,
Mike Pence,10/13/2023,Manchester,New Hampshire,Press/Interview,WMUR Candidate Cafe,
Nikki Haley,10/13/2023,Concord,New Hampshire,filing for ballot access,,
Nikki Haley,10/13/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Ron DeSantis,10/13/2023,Manchester,New Hampshire,Town Hall,Politics & Eggs at Saint Anselm College,
Ron DeSantis,10/13/2023,Merrimack,New Hampshire,Town Hall,,
Ron DeSantis,10/13/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Tim Scott,10/13/2023,Cedar Rapids,Iowa,Meet and Greet,,
Tim Scott,10/13/2023,Waterloo,Iowa,Meet and Greet,,
Vivek Ramaswamy,10/13/2023,Eagle Pass,Texas,Border visit,,
Vivek Ramaswamy,10/13/2023,Hillsborough,New Hampshire,Town Hall,,
Vivek Ramaswamy,10/13/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Asa Hutchinson,10/14/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Chris Christie,10/14/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Doug Burgum,10/14/2023,Durham,New Hampshire,Tailgate,,
Doug Burgum,10/14/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Mike Pence,10/14/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Ron DeSantis,10/14/2023,Council Bluffs,Iowa,bus tour,,
Ron DeSantis,10/14/2023,Creston,Iowa,Meet and Greet,,
Tim Scott,10/14/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Tim Scott,10/14/2023,,New Hampshire,,Americans for Tax Reform,
Vivek Ramaswamy,10/14/2023,Exeter,New Hampshire,Candidate Forum,USA Today,
Vivek Ramaswamy,10/14/2023,Hampton,New Hampshire,Rally,,Vektoberfest
Vivek Ramaswamy,10/14/2023,Milford,New Hampshire,Town Hall,,
Will Hurd,10/14/2023,Nashua,New Hampshire,Speech,New Hampshire GOP,First in the Nation Leadership Summit
Donald Trump,10/16/2023,Adel,Iowa,commit to caucus event,,
Donald Trump,10/16/2023,Clive,Iowa,Speech,,
Tim Scott,10/16/2023,Columbia,South Carolina,filing for ballot access,,
Tim Scott,10/16/2023,Washington,District of Columbia,policy discussion,"Georgetown Institute of Politics and Public Service, The AP",
Mike Pence,10/17/2023,Indianola,Iowa,Meet and Greet,@ Uncommon Grounds Coffee,
Mike Pence,10/17/2023,Manchester,New Hampshire,Press/Interview,WMUR Candidate Cafe,
Mike Pence,10/17/2023,Windsor Heights,Iowa,Town Hall,Newsmax,
Asa Hutchinson,10/18/2023,Exeter,New Hampshire,Meet and Greet,Sig Sauer,
Asa Hutchinson,10/18/2023,Keene,New Hampshire,Meet and Greet,,
Vivek Ramaswamy,10/18/2023,Concord,New Hampshire,filing for ballot access,,
Vivek Ramaswamy,10/18/2023,Manchester,New Hampshire,Press/Interview,WMUR Candidate Cafe,
Asa Hutchinson,10/19/2023,Rock Hill,South Carolina,Candidate Forum,SC/NC Federation of Republican Women,at Wintrhop University
Chris Christie,10/19/2023,Concord,New Hampshire,filing for ballot access,,
Chris Christie,10/19/2023,Manchester,New Hampshire,Press/Interview,WMUR Candidate Cafe,
Doug Burgum,10/19/2023,Ames,Iowa,Meet and Greet,,
Ron DeSantis,10/19/2023,Anderson,South Carolina,campaign event,Veterans for DeSantis,
Ron DeSantis,10/19/2023,Rock Hill,South Carolina,Town Hall,Veterans for DeSantis,
Ron DeSantis,10/19/2023,Rock Hill,South Carolina,Candidate Forum,SC/NC Federation of Republican Women,at Wintrhop University
Vivek Ramaswamy,10/19/2023,Iowa City,Iowa,Meet and Greet,,
Asa Hutchinson,10/20/2023,Iowa City,Iowa,Tailgate,Marianette Miller-Meeks,
Doug Burgum,10/20/2023,Coggon,Iowa,Farmer Roundtable,,
Doug Burgum,10/20/2023,Iowa City,Iowa,tailgate,Marianette Miller-Meeks,
Nikki Haley,10/20/2023,Cedar Rapids,Iowa,Town Hall,,with Joni Ernst
Nikki Haley,10/20/2023,Iowa City,Iowa,Tailgate,Marianette Miller-Meeks,
Ron DeSantis,10/20/2023,Iowa City,Iowa,Tailgate,Marianette Miller-Meeks,
Ron DeSantis,10/20/2023,Murrells Inlet,South Carolina,Town Hall,Veterans for DeSantis,
Ron DeSantis,10/20/2023,Myrtle Beach,South Carolina,Rally,,
Tim Scott,10/20/2023,Concord,New Hampshire,filing for ballot access,,
Tim Scott,10/20/2023,Iowa City,Iowa,Tailgate,Marianette Miller-Meeks,
Vivek Ramaswamy,10/20/2023,Burlington,Iowa,Town Hall,,
Vivek Ramaswamy,10/20/2023,Fort Madison,Iowa,Meet and Greet,,
Vivek Ramaswamy,10/20/2023,Iowa City,Iowa,Tailgate,Marianette Miller-Meeks,
Vivek Ramaswamy,10/20/2023,Washington,Iowa,Town Hall,,
Chris Christie,10/21/2023,Charleston,South Carolina,Town Hall,,
Doug Burgum,10/21/2023,Cedar Falls,Iowa,Tailgate,University of Northern Iowa,
Doug Burgum,10/21/2023,Cedar Rapids,Iowa,Meet and Greet,,
Nikki Haley,10/21/2023,Pella,Iowa,Town Hall,,
Nikki Haley,10/21/2023,Sheffield,Iowa,Town Hall,,
Ron DeSantis,10/21/2023,Clinton,Iowa,,,
Ron DeSantis,10/21/2023,Dubuque,Iowa,Rally,Veterans for DeSantis Dubuque County,
Ron DeSantis,10/21/2023,Maquoketa,Iowa,Meet and Greet,,
Ron DeSantis,10/21/2023,Monticello,Iowa,Meet and Greet,,
Tim Scott,10/21/2023,Cedar Falls,Iowa,Tailgate,University of Northern Iowa,
Tim Scott,10/21/2023,Maquoketa,Iowa,Meet and Greet,,
Vivek Ramaswamy,10/21/2023,Altoona,Iowa,Town Hall,,
Vivek Ramaswamy,10/21/2023,Indianola,Iowa,Town Hall,,
Vivek Ramaswamy,10/21/2023,Mount Pleasant,Iowa,Town Hall,,
Vivek Ramaswamy,10/21/2023,Oskaloosa,Iowa,Town Hall,,
Vivek Ramaswamy,10/21/2023,Ottumwa,Iowa,Town Hall,,
Chris Christie,10/22/2023,Beaufort,South Carolina,Speech,Tabernacle Baptist Church,
Doug Burgum,10/22/2023,Coralville,Iowa,Town Hall,,
Tim Scott,10/22/2023,West Des Moines,Iowa,church,,
Vivek Ramaswamy,10/22/2023,Waukee,Iowa,football,,
Donald Trump,10/23/2023,Concord,New Hampshire,filing for ballot access,,
Donald Trump,10/23/2023,Derry,New Hampshire,Rally,,
Tim Scott,10/23/2023,Chicago,Illinois,Speech,New Beginnings Church,
Tim Scott,10/23/2023,Marshalltown,Iowa,Town Hall,,
Vivek Ramaswamy,10/23/2023,Ames,Iowa,Town Hall,,
Chris Christie,10/24/2023,Manchester,New Hampshire,Town Hall,,
Ron DeSantis,10/24/2023,Londonderry,New Hampshire,Meet and Greet,,with Chris Sununu
