year,state,chamber,district,metric,value,pct
2020,AZ,,18,pacisl_vap,410,0.22
2020,AZ,,18,pvi,D+8.4,
2020,AZ,,18,total_pop,232265,
2020,AZ,,18,total_vap,185552,100
2020,AZ,,18,trump_2020,,40.25
2020,AZ,,18,two_plus_vap,6841,3.69
2020,AZ,,18,white_vap,120251,64.81
2020,AZ,,19,asian_vap,4868,2.94
2020,AZ,,19,biden_2020,,68.81
2020,AZ,,19,black_vap,15031,9.07
2020,AZ,,19,hispanic_vap,105903,63.92
2020,AZ,,19,native_vap,2045,1.23
2020,AZ,,19,other_vap,827,0.5
2020,AZ,,19,pacisl_vap,594,0.36
2020,AZ,,19,pvi,D+32.4,
2020,AZ,,19,total_pop,242880,
2020,AZ,,19,total_vap,165671,100
2020,AZ,,19,trump_2020,,29.61
2020,AZ,,19,two_plus_vap,3482,2.1
2020,AZ,,19,white_vap,32921,19.87
2020,AZ,,20,asian_vap,7594,4.06
2020,AZ,,20,biden_2020,,48.92
2020,AZ,,20,black_vap,9861,5.27
2020,AZ,,20,hispanic_vap,42460,22.71
2020,AZ,,20,native_vap,2521,1.35
2020,AZ,,20,other_vap,977,0.52
2020,AZ,,20,pacisl_vap,387,0.21
2020,AZ,,20,pvi,R+9.7,
2020,AZ,,20,total_pop,238843,
2020,AZ,,20,total_vap,186987,100
2020,AZ,,20,trump_2020,,49.15
2020,AZ,,20,two_plus_vap,6926,3.7
2020,AZ,,20,white_vap,116261,62.18
2020,AZ,,21,asian_vap,5198,2.77
2020,AZ,,21,biden_2020,,44.81
2020,AZ,,21,black_vap,8644,4.6
2020,AZ,,21,hispanic_vap,43194,22.98
2020,AZ,,21,native_vap,1375,0.73
2020,AZ,,21,other_vap,734,0.39
2020,AZ,,21,pacisl_vap,305,0.16
2020,AZ,,21,pvi,R+17.8,
2020,AZ,,21,total_pop,238394,
2020,AZ,,21,total_vap,187957,100
2020,AZ,,21,trump_2020,,53.79
2020,AZ,,21,two_plus_vap,6089,3.24
2020,AZ,,21,white_vap,122418,65.13
2020,AZ,,22,asian_vap,8540,3.93
2020,AZ,,22,biden_2020,,37.51
2020,AZ,,22,black_vap,6260,2.88
2020,AZ,,22,hispanic_vap,22486,10.34
2020,AZ,,22,native_vap,857,0.39
2020,AZ,,22,other_vap,710,0.33
2020,AZ,,22,pacisl_vap,300,0.14
2020,AZ,,22,pvi,R+32.1,
2020,AZ,,22,total_pop,273380,
2020,AZ,,22,total_vap,217390,100
2020,AZ,,22,trump_2020,,61.42
2020,AZ,,22,two_plus_vap,6724,3.09
2020,AZ,,22,white_vap,171513,78.9
2020,AZ,,23,asian_vap,9002,4.43
2020,AZ,,23,biden_2020,,44.92
2020,AZ,,23,black_vap,3019,1.48
2020,AZ,,23,hispanic_vap,12483,6.14
2020,AZ,,23,native_vap,1246,0.61
2020,AZ,,23,other_vap,802,0.39
2020,AZ,,23,pacisl_vap,122,0.06
2020,AZ,,23,pvi,R+17.4,
2020,AZ,,23,total_pop,236337,
2020,AZ,,23,total_vap,203313,100
2020,AZ,,23,trump_2020,,54.1
